interval,timestamp,mg2.x,mg2.y,mg2.z
552.0,46758343.3858,18.775,-19.0,57.8875
552.0,46758343.4358,19.125,-19.31875,57.69375
552.0,46758343.4858,19.125,-19.31875,57.69375
552.0,46758343.5358,19.3125,-19.94375,57.61875
552.0,46758343.5858,19.3125,-19.94375,57.61875
552.0,46758343.6358,19.75625,-20.325,57.325
552.0,46758343.6858,19.75625,-20.325,57.325
552.0,46758343.7358,20.05625,-20.875,57.1
552.0,46758343.7858,20.05625,-20.875,57.1
552.0,46758343.8358,20.40625,-21.5375,56.88125
552.0,46758343.8858,20.6125,-22.19375,56.63125
552.0,46758343.9358,20.6125,-22.19375,56.63125
552.0,46758343.9858,20.6875,-22.93125,56.33125
553.0,46758344.0358,20.6875,-22.93125,56.33125
553.0,46758344.0858,20.83125,-23.6,56.13125
553.0,46758344.1358,20.83125,-23.6,56.13125
553.0,46758344.1858,20.96875,-24.04375,55.7125
553.0,46758344.2358,20.96875,-24.04375,55.7125
553.0,46758344.2858,20.83125,-24.75625,55.44375
553.0,46758344.3358,20.83125,-24.75625,55.44375
553.0,46758344.3858,20.9875,-25.14375,55.16875
553.0,46758344.4358,20.9875,-25.14375,55.16875
553.0,46758344.4858,20.89375,-25.525,54.85625
553.0,46758344.5358,20.89375,-25.525,54.85625
553.0,46758344.5858,20.55625,-26.0375,54.76875
553.0,46758344.6358,20.55625,-26.0375,54.76875
553.0,46758344.6858,20.425,-26.04375,54.7
553.0,46758344.7358,20.425,-26.04375,54.7
553.0,46758344.7858,20.13125,-26.075,54.4375
553.0,46758344.8358,20.13125,-26.075,54.4375
553.0,46758344.8858,19.725,-26.33125,54.49375
553.0,46758344.9358,19.725,-26.33125,54.49375
553.0,46758344.9858,19.5,-26.00625,54.43125
554.0,46758345.0358,19.025,-26.025,54.58125
554.0,46758345.0858,19.025,-26.025,54.58125
554.0,46758345.1358,18.86875,-25.525,54.6625
554.0,46758345.1858,18.86875,-25.525,54.6625
554.0,46758345.2358,18.725,-25.0875,54.75625
554.0,46758345.2858,18.725,-25.0875,54.75625
554.0,46758345.3358,18.65625,-24.71875,54.86875
554.0,46758345.3858,18.65625,-24.71875,54.86875
554.0,46758345.4358,18.59375,-24.225,55.2
554.0,46758345.4858,18.59375,-24.225,55.2
554.0,46758345.5358,18.65625,-23.68125,55.31875
554.0,46758345.5858,18.65625,-23.68125,55.31875
554.0,46758345.6358,18.7875,-23.13125,55.4875
554.0,46758345.6858,18.7875,-23.13125,55.4875
554.0,46758345.7358,18.89375,-22.5875,55.6
554.0,46758345.7858,18.89375,-22.5875,55.6
554.0,46758345.8358,19.04375,-22.08125,55.71875
554.0,46758345.8858,19.04375,-22.08125,55.71875
554.0,46758345.9358,19.175,-21.7875,55.98125
554.0,46758345.9858,19.175,-21.7875,55.98125
555.0,46758346.0358,19.325,-21.4625,56.13125
555.0,46758346.0858,19.59375,-21.16875,56.24375
555.0,46758346.1358,19.59375,-21.16875,56.24375
555.0,46758346.1858,19.89375,-20.73125,56.18125
555.0,46758346.2358,19.89375,-20.73125,56.18125
555.0,46758346.2858,20.13125,-20.58125,56.16875
555.0,46758346.3358,20.13125,-20.58125,56.16875
555.0,46758346.3858,20.3,-20.6125,56.3875
555.0,46758346.4358,20.3,-20.6125,56.3875
555.0,46758346.4858,20.6,-20.61875,56.35625
555.0,46758346.5358,20.6,-20.61875,56.35625
555.0,46758346.5858,20.71875,-20.7625,56.275
555.0,46758346.6358,20.71875,-20.7625,56.275
555.0,46758346.6858,20.7625,-21.08125,56.20625
555.0,46758346.7358,20.7625,-21.08125,56.20625
555.0,46758346.7858,20.93125,-21.18125,56.2125
555.0,46758346.8358,20.93125,-21.18125,56.2125
555.0,46758346.8858,21.05625,-21.275,56.03125
555.0,46758346.9358,21.05625,-21.275,56.03125
555.0,46758346.9858,21.1125,-21.5375,56.0125
556.0,46758347.0358,21.1125,-21.5375,56.0125
556.0,46758347.0858,21.00625,-21.84375,55.8875
556.0,46758347.1358,21.00625,-21.84375,55.8875
556.0,46758347.1858,21.075,-21.86875,55.8625
556.0,46758347.2358,20.93125,-21.975,55.79375
556.0,46758347.2858,20.93125,-21.975,55.79375
556.0,46758347.3358,20.88125,-22.0875,55.825
556.0,46758347.3858,20.88125,-22.0875,55.825
556.0,46758347.4358,20.7875,-22.05,55.98125
556.0,46758347.4858,20.7875,-22.05,55.98125
556.0,46758347.5358,20.7625,-21.8875,55.83125
556.0,46758347.5858,20.7625,-21.8875,55.83125
556.0,46758347.6358,20.7,-21.76875,55.9375
556.0,46758347.6858,20.7,-21.76875,55.9375
556.0,46758347.7358,20.65625,-21.61875,55.88125
556.0,46758347.7858,20.65625,-21.61875,55.88125
556.0,46758347.8358,20.5625,-21.6125,55.98125
556.0,46758347.8858,20.5625,-21.6125,55.98125
556.0,46758347.9358,20.31875,-21.61875,55.975
556.0,46758347.9858,20.31875,-21.61875,55.975
557.0,46758348.0358,20.20625,-21.6,56.15625
